appid,source,added_at
421190,mmg_top_paid,2026-09-08
422860,mmg_top_paid,2026-09-08
423610,mmg_top_paid,2026-09-08
423810,mmg_top_paid,2026-09-08
424030,mmg_top_paid,2026-09-08
425580,mmg_top_paid,2026-09-08
425770,mmg_top_paid,2026-09-08
427290,mmg_top_paid,2026-09-08
427730,mmg_top_paid,2026-09-08
427950,mmg_top_paid,2026-09-08
427980,mmg_top_paid,2026-09-08
428200,mmg_top_paid,2026-09-08
429050,mmg_top_paid,2026-09-08
430410,mmg_top_paid,2026-09-08
431120,mmg_top_paid,2026-09-08
431240,mmg_top_paid,2026-09-08
431621,mmg_top_paid,2026-09-08
431730,mmg_top_paid,2026-09-08
431960,charts_top100,2026-09-07
433340,mmg_top_paid,2026-09-08
433600,mmg_top_paid,2026-09-08
434190,mmg_top_paid,2026-09-08
434370,mmg_top_paid,2026-09-08
434570,mmg_top_paid,2026-09-08
434880,mmg_top_paid,2026-09-08
435150,mmg_top_paid,2026-09-08
436260,mmg_top_paid,2026-09-08
437870,mmg_top_paid,2026-09-08
438100,charts_top100,2026-09-07
440900,mmg_top_paid,2026-09-08
443650,mmg_top_paid,2026-09-08
444580,mmg_top_paid,2026-09-08
445690,mmg_top_paid,2026-09-08
445800,mmg_top_paid,2026-09-08
447040,mmg_top_paid,2026-09-08
449510,mmg_top_paid,2026-09-08
449960,mmg_top_paid,2026-09-08
454650,mmg_top_paid,2026-09-08
456170,mmg_top_paid,2026-09-08
457140,mmg_top_paid,2026-09-08
458630,mmg_top_paid,2026-09-08
460790,mmg_top_paid,2026-09-08
460920,mmg_top_paid,2026-09-08
460930,mmg_top_paid,2026-09-08
460950,mmg_top_paid,2026-09-08
461210,mmg_top_paid,2026-09-08
462780,mmg_top_paid,2026-09-08
463160,mmg_top_paid,2026-09-08
463530,mmg_top_paid,2026-09-08
463791,mmg_top_paid,2026-09-08
463795,mmg_top_paid,2026-09-08
464920,mmg_top_paid,2026-09-08
465760,mmg_top_paid,2026-09-08
466560,mmg_top_paid,2026-09-08
467680,mmg_top_paid,2026-09-08
467820,mmg_top_paid,2026-09-08
469600,mmg_top_paid,2026-09-08
470220,mmg_top_paid,2026-09-08
473450,mmg_top_paid,2026-09-08
473970,mmg_top_paid,2026-09-08
475150,mmg_top_paid,2026-09-08
475550,mmg_top_paid,2026-09-08
477160,mmg_top_paid,2026-09-08
480480,mmg_top_paid,2026-09-08
480490,mmg_top_paid,2026-09-08
481510,mmg_top_paid,2026-09-08
482400,mmg_top_paid,2026-09-08
484350,mmg_top_paid,2026-09-08
485510,mmg_top_paid,2026-09-08
486510,mmg_top_paid,2026-09-08
486690,mmg_top_paid,2026-09-08
488760,mmg_top_paid,2026-09-08
488790,mmg_top_paid,2026-09-08
488860,mmg_top_paid,2026-09-08
489830,charts_top100,2026-09-07
490110,mmg_top_paid,2026-09-08
491540,mmg_top_paid,2026-09-08
492720,mmg_top_paid,2026-09-08
493340,mmg_top_paid,2026-09-08
493490,mmg_top_paid,2026-09-08
493520,mmg_top_paid,2026-09-08
494810,mmg_top_paid,2026-09-08
494840,mmg_top_paid,2026-09-08
495420,mmg_top_paid,2026-09-08
495980,mmg_top_paid,2026-09-08
498190,mmg_top_paid,2026-09-08
498240,mmg_top_paid,2026-09-08
499910,mmg_top_paid,2026-09-08
501300,mmg_top_paid,2026-09-08
502500,mmg_top_paid,2026-09-08
503340,mmg_top_paid,2026-09-08
503370,mmg_top_paid,2026-09-08
504230,mmg_top_paid,2026-09-08
508440,mmg_top_paid,2026-09-08
509980,mmg_top_paid,2026-09-08
510930,mmg_top_paid,2026-09-08
512220,mmg_top_paid,2026-09-08
514290,mmg_top_paid,2026-09-08
516750,mmg_top_paid,2026-09-08
517130,mmg_top_paid,2026-09-08
518790,mmg_top_paid,2026-09-08
521630,mmg_top_paid,2026-09-08
521890,mmg_top_paid,2026-09-08
522120,mmg_top_paid,2026-09-08
523710,mmg_top_paid,2026-09-08
523770,mmg_top_paid,2026-09-08
524330,mmg_top_paid,2026-09-08
525640,mmg_top_paid,2026-09-08
526160,mmg_top_paid,2026-09-08
526870,watchlist,2026-09-09
527070,mmg_top_paid,2026-09-08
527230,mmg_top_paid,2026-09-08
528160,mmg_top_paid,2026-09-08
529340,mmg_top_paid,2026-09-08
530540,mmg_top_paid,2026-09-08
530711,mmg_top_paid,2026-09-08
531510,mmg_top_paid,2026-09-08
532290,mmg_top_paid,2026-09-08
532920,mmg_top_paid,2026-09-08
533850,mmg_top_paid,2026-09-08
534380,watchlist,2026-09-09
536220,mmg_top_paid,2026-09-08
539320,mmg_top_paid,2026-09-08
540060,mmg_top_paid,2026-09-08
541570,mmg_top_paid,2026-09-08
542660,mmg_top_paid,2026-09-08
543100,mmg_top_paid,2026-09-08
548430,mmg_top_paid,2026-09-08
548480,mmg_top_paid,2026-09-08
552100,mmg_top_paid,2026-09-08
553420,mmg_top_paid,2026-09-08
553850,charts_top100,2026-09-07
554750,mmg_top_paid,2026-09-08
556213,mmg_top_paid,2026-09-08
557600,mmg_top_paid,2026-09-08
560710,mmg_top_paid,2026-09-08
561000,mmg_top_paid,2026-09-08
567380,mmg_top_paid,2026-09-08
568220,mmg_top_paid,2026-09-08
569480,mmg_top_paid,2026-09-08
570000,mmg_top_paid,2026-09-08
570220,mmg_top_paid,2026-09-08
571010,mmg_top_paid,2026-09-08
571310,mmg_top_paid,2026-09-08
573090,mmg_top_paid,2026-09-08
575010,mmg_top_paid,2026-09-08
575600,mmg_top_paid,2026-09-08
575680,mmg_top_paid,2026-09-08
577350,mmg_top_paid,2026-09-08
577351,mmg_top_paid,2026-09-08
577354,mmg_top_paid,2026-09-08
577355,mmg_top_paid,2026-09-08
577356,mmg_top_paid,2026-09-08
577358,mmg_top_paid,2026-09-08
578080,charts_top100,2026-09-07
578330,mmg_top_paid,2026-09-08
578650,mmg_top_paid,2026-09-08
578800,mmg_top_paid,2026-09-08
582010,mmg_top_paid,2026-09-08
584400,mmg_top_paid,2026-09-08
584930,mmg_top_paid,2026-09-08
585420,mmg_top_paid,2026-09-08
588030,mmg_top_paid,2026-09-08
589290,mmg_top_paid,2026-09-08
589590,mmg_top_paid,2026-09-08
590380,mmg_top_paid,2026-09-08
590970,mmg_top_paid,2026-09-08
592372,mmg_top_paid,2026-09-08
592373,mmg_top_paid,2026-09-08
593280,mmg_top_paid,2026-09-08
593490,mmg_top_paid,2026-09-08
593530,mmg_top_paid,2026-09-08
594650,charts_top100,2026-09-07
595420,mmg_top_paid,2026-09-08
595550,mmg_top_paid,2026-09-08
597170,mmg_top_paid,2026-09-08
598690,mmg_top_paid,2026-09-08
599140,mmg_top_paid,2026-09-08
601150,mmg_top_paid,2026-09-08
601380,mmg_top_paid,2026-09-08
601430,mmg_top_paid,2026-09-08
602960,mmg_top_paid,2026-09-08
603850,mmg_top_paid,2026-09-08
603940,mmg_top_paid,2026-09-08
605770,mmg_top_paid,2026-09-08
606150,mmg_top_paid,2026-09-08
606280,mmg_top_paid,2026-09-08
714010,charts_top100,2026-09-07
739630,charts_top100,2026-09-07
813780,charts_top100,2026-09-07
892970,charts_top100,2026-09-07
945360,charts_top100,2026-09-07
960090,charts_top100,2026-09-07
972760,featured_new_releases,2026-09-08
1030300,watchlist,2026-09-09
1085660,charts_top100,2026-09-07
1086940,charts_top100,2026-09-07
1091500,charts_top100,2026-09-07
1142710,charts_top100,2026-09-07
1144200,charts_top100,2026-09-07
1158310,charts_top100,2026-09-07
1172470,charts_top100,2026-09-07
1174180,charts_top100,2026-09-07
1203220,charts_top100,2026-09-07
1203620,featured_specials,2026-09-07
1222670,charts_top100,2026-09-07
1245620,charts_top100,2026-09-07
1281930,charts_top100,2026-09-07
1326470,charts_top100,2026-09-07
1364780,charts_top100,2026-09-07
1366800,charts_top100,2026-09-07
1422450,charts_top100,2026-09-07
1449850,charts_top100,2026-09-07
1488490,watchlist,2026-09-09
1510440,featured_new_releases,2026-09-08
1623730,charts_top100,2026-09-07
1643320,charts_top100,2026-09-07
1665460,charts_top100,2026-09-07
1666480,watchlist,2026-09-09
1675200,featured_top_sellers,2026-09-08
1746527,featured_top_sellers,2026-09-07
1790620,featured_coming_soon,2026-09-07
1798230,watchlist,2026-09-09
1808500,charts_top100,2026-09-07
1867240,featured_top_sellers,2026-09-07
1903340,watchlist,2026-09-09
1905180,charts_top100,2026-09-07
1938090,charts_top100,2026-09-07
1973530,charts_top100,2026-09-07
2068500,featured_new_releases,2026-09-08
2073620,charts_top100,2026-09-07
2073850,charts_top100,2026-09-07
2075800,charts_top100,2026-09-07
2139460,charts_top100,2026-09-07
2183900,charts_top100,2026-09-07
2246340,charts_top100,2026-09-07
2300320,charts_top100,2026-09-07
2357570,charts_top100,2026-09-07
2358720,charts_top100,2026-09-07
2397320,featured_new_releases,2026-09-08
2399830,charts_top100,2026-09-07
2406770,charts_top100,2026-09-07
2483190,charts_top100,2026-09-07
2507950,charts_top100,2026-09-07
2518490,featured_coming_soon,2026-09-07
2595260,watchlist,2026-09-09
2622380,charts_top100,2026-09-07
2638890,charts_top100,2026-09-07
2676230,charts_top100,2026-09-07
2694490,charts_top100,2026-09-07
2767030,charts_top100,2026-09-07
2807960,charts_top100,2026-09-07
2868840,charts_top100,2026-09-07
2909400,watchlist,2026-09-09
2998920,featured_new_releases,2026-09-07
3008130,watchlist,2026-09-09
3065360,featured_new_releases,2026-09-08
3090620,featured_new_releases,2026-09-08
3170490,featured_new_releases,2026-09-08
3219630,featured_top_sellers,2026-09-07
3240220,charts_top100,2026-09-07
3241660,charts_top100,2026-09-07
3265560,featured_coming_soon,2026-09-08
3321460,charts_top100,2026-09-07
3357650,featured_specials,2026-09-08
3375110,featured_new_releases,2026-09-07
3405690,charts_top100,2026-09-07
3419430,charts_top100,2026-09-07
3472040,charts_top100,2026-09-07
3484940,featured_new_releases,2026-09-07
3513350,charts_top100,2026-09-07
3527290,charts_top100,2026-09-07
3528840,featured_new_releases,2026-09-08
3549150,featured_new_releases,2026-09-07
3551340,charts_top100,2026-09-07
3624140,featured_specials,2026-09-08
3664070,featured_coming_soon,2026-09-07
3678970,charts_top100,2026-09-07
3702540,featured_coming_soon,2026-09-08
3706620,featured_new_releases,2026-09-07
3734150,featured_new_releases,2026-09-07
3748520,featured_new_releases,2026-09-08
3751260,charts_top100,2026-09-07
3764200,featured_specials,2026-09-08
3794210,featured_new_releases,2026-09-08
3846440,featured_new_releases,2026-09-07
3919340,featured_new_releases,2026-09-07
3951340,featured_new_releases,2026-09-08
4001890,charts_top100,2026-09-07
4104890,featured_new_releases,2026-09-07
4132960,featured_coming_soon,2026-09-07
4134650,featured_new_releases,2026-09-07
4162040,charts_top100,2026-09-08
4165910,featured_top_sellers,2026-09-07
4214830,featured_coming_soon,2026-09-08
4235980,featured_new_releases,2026-09-08
4246710,featured_coming_soon,2026-09-07
4283250,featured_new_releases,2026-09-08
4295100,featured_coming_soon,2026-09-08
4304820,featured_new_releases,2026-09-07
4327050,featured_new_releases,2026-09-07
4391650,featured_new_releases,2026-09-07
4422500,featured_new_releases,2026-09-07
4466880,featured_new_releases,2026-09-07
4505150,featured_coming_soon,2026-09-07
4516900,featured_new_releases,2026-09-08
4528250,featured_new_releases,2026-09-08
4656000,charts_top100,2026-09-07
4677560,featured_new_releases,2026-09-07
4681980,featured_new_releases,2026-09-07
4704690,charts_top100,2026-09-07
4718740,featured_new_releases,2026-09-07
4741230,featured_coming_soon,2026-09-08
4795720,featured_new_releases,2026-09-08
